2lt7A01,3,1,0,7,6,0,1,1,0,2,6,1,1,5,4,0,0,0,0,1,8,1,0,1,7,8,1u4aA00,2,0,0,8,3,1,1,0,1,13,7,1,3,5,1,1,5,14,6,4,30,8,4,1,12,2
2lt7A01,3,1,0,7,6,0,1,1,0,2,6,1,1,5,4,0,0,0,0,1,8,1,0,1,7,8,1wm2A00,3,1,1,3,5,0,5,0,0,2,13,3,1,19,5,0,0,3,2,1,8,1,0,1,12,7
1a6yA00,0,0,1,5,7,1,7,3,2,9,4,2,9,9,3,0,0,8,4,2,9,4,0,3,5,16,4pw8A01,15,4,7,8,48,0,11,2,0,23,24,3,20,6,18,0,0,5,8,3,13,11,0,5,2,118
3eq5A00,1,0,1,11,16,0,4,0,5,15,11,4,14,15,6,0,0,6,0,1,11,1,0,3,12,28,1d4uA00,0,0,2,2,4,0,7,2,4,18,8,3,7,12,2,0,5,4,3,12,17,4,0,5,6,15
2gzhB00,1,0,1,0,0,0,0,2,0,0,1,2,2,0,5,0,0,0,0,0,0,1,0,0,0,33,2gzhB00,1,0,1,0,0,0,0,2,0,0,1,2,2,0,5,0,0,0,0,0,0,1,0,0,0,33
2gzhB00,1,0,1,0,0,0,0,2,0,0,1,2,2,0,5,0,0,0,0,0,0,1,0,0,0,33,2br9A00,6,2,0,26,39,0,5,0,3,25,28,4,35,6,4,0,0,4,13,9,18,5,7,2,1,143
2gzhB00,1,0,1,0,0,0,0,2,0,0,1,2,2,0,5,0,0,0,0,0,0,1,0,0,0,33,2oilA00,5,2,2,20,21,0,15,5,6,27,38,8,13,24,6,0,0,12,8,3,24,6,1,1,26,32
2gzhB00,1,0,1,0,0,0,0,2,0,0,1,2,2,0,5,0,0,0,0,0,0,1,0,0,0,33,2f9lA00,5,1,3,23,17,1,9,5,7,34,41,8,17,22,7,1,1,19,10,4,20,8,0,2,26,30
2gzhB00,1,0,1,0,0,0,0,2,0,0,1,2,2,0,5,0,0,0,0,0,0,1,0,0,0,33,4hbdA00,15,2,2,49,67,4,18,1,2,42,43,11,35,11,8,0,1,9,10,6,30,9,3,3,12,97
2w4lA00,3,1,8,4,13,1,16,7,1,12,24,9,8,17,8,0,1,5,11,4,36,4,4,6,15,29,2w4lA00,3,1,8,4,13,1,16,7,1,12,24,9,8,17,8,0,1,5,11,4,36,4,4,6,15,29
2w4lA00,3,1,8,4,13,1,16,7,1,12,24,9,8,17,8,0,1,5,11,4,36,4,4,6,15,29,1n99A01,0,0,0,5,8,2,8,0,0,4,15,3,10,18,2,0,0,3,1,3,8,1,1,2,8,12
1mq0A00,3,1,0,9,9,0,11,1,1,16,26,4,10,18,5,1,1,7,6,1,42,3,3,3,13,22,1mq0A00,3,1,0,9,9,0,11,1,1,16,26,4,10,18,5,1,1,7,6,1,42,3,3,3,13,22
2krbA00,2,1,0,5,1,0,6,0,0,3,18,2,9,10,6,0,1,2,4,3,12,3,0,4,14,10,2xjyA01,0,0,2,5,2,0,2,1,0,5,9,7,5,10,4,0,0,2,0,0,9,1,0,0,8,5
2krbA00,2,1,0,5,1,0,6,0,0,3,18,2,9,10,6,0,1,2,4,3,12,3,0,4,14,10,1h4rA01,4,0,0,4,5,1,6,1,0,6,18,3,2,20,2,0,0,1,0,2,8,3,0,0,15,11
3fpzA01,0,0,5,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,15,3fpzA01,0,0,5,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,15
3fpzA01,0,0,5,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,15,1bk5A00,33,0,0,58,91,1,9,7,9,90,75,13,78,15,29,0,0,10,23,16,44,24,11,0,2,204
2l4cA00,2,1,0,6,2,1,0,0,7,29,13,1,5,4,1,4,9,26,15,12,30,4,2,10,10,9,1j8cA00,1,2,5,13,4,0,2,4,1,5,4,1,6,5,1,0,7,9,5,7,17,3,3,0,14,8
1n6hA00,9,1,1,10,24,1,21,3,4,23,38,4,9,27,7,0,1,12,7,11,26,8,1,3,28,31,2ej8A00,4,2,3,2,6,0,10,1,2,13,20,2,10,31,7,0,3,6,4,3,28,0,0,5,19,27
